included,category,dataset,mean,lower,upper
1,CB-1D-MFN,BrightKite,0.8122085714353888,0.7674065156153841,0.8569677052013048
1,CB-1D-MFN,Gowalla,0.9530975713722057,0.8834516281550818,1.0388400930739594
1,CB-1D-MFN,Weeplace,0.7581485149558419,0.7418605039408118,0.7741726290091971
1,CB-1H-MFN,BrightKite,0.7994078137082806,0.7522739027224754,0.8452450750795201
1,CB-1H-MFN,Gowalla,0.9282204381118194,0.8592714564952038,1.0111688833998596
1,CB-1H-MFN,Weeplace,0.7005296219324167,0.6835076467798272,0.7169821048962184
1,SW-24H-MFN,BrightKite,0.8181809171794877,0.7736369663523189,0.860784151466931
1,SW-24H-MFN,Gowalla,0.9562916751206262,0.8858716419258086,1.0404986484359375
1,SW-24H-MFN,Weeplace,0.7644849033806511,0.7482852866715061,0.7807772653622915
1,TFN,BrightKite,0.769278038454673,0.7257521664282707,0.8119740013760335
1,TFN,Gowalla,0.9286315218540886,0.8605273665789889,1.0092686657906356
1,TFN,Weeplace,0.7073909083565003,0.6910440357567411,0.7242262081625668
2,CB-1D-MFN,BrightKite,0.8365307850654109,0.7936955011742085,0.8761896758779776
2,CB-1D-MFN,Gowalla,1.0212779987100817,0.9529294221849656,1.1027812791461264
2,CB-1D-MFN,Weeplace,0.8021818995604006,0.7855490191663894,0.8190706376307683
2,CB-1H-MFN,BrightKite,0.8196292418021949,0.7753197890411428,0.8622404175559599
2,CB-1H-MFN,Gowalla,0.9896243067578833,0.920829552378134,1.069309375467963
2,CB-1H-MFN,Weeplace,0.737325427909018,0.7189868941975723,0.7555432835774055
2,SW-24H-MFN,BrightKite,0.8416778812750678,0.8012865656268154,0.8805480973415174
2,SW-24H-MFN,Gowalla,1.02745856552148,0.9579203621256062,1.112920982939216
2,SW-24H-MFN,Weeplace,0.807964296432171,0.7916849369878185,0.8244058564950363
2,TFN,BrightKite,0.7952634293579338,0.7544888387669298,0.834980109373292
2,TFN,Gowalla,0.989335781866521,0.9204954796190099,1.0705597932798236
2,TFN,Weeplace,0.7403234701640466,0.7220995338161235,0.7585618014052752
3,CB-1D-MFN,BrightKite,0.8470257895977469,0.8067654612837415,0.8859844383974043
3,CB-1D-MFN,Gowalla,1.061979619850753,0.9914456508750605,1.1441410720104233
3,CB-1D-MFN,Weeplace,0.8300317671173124,0.8129812437223749,0.8476363342699749
3,CB-1H-MFN,BrightKite,0.8274776762861775,0.7864790181953508,0.8670138192626999
3,CB-1H-MFN,Gowalla,1.0239355854223626,0.9559837207682504,1.103696137604637
3,CB-1H-MFN,Weeplace,0.7642459262983946,0.745154493642634,0.783311351181957
3,SW-24H-MFN,BrightKite,0.8543641046929449,0.8156432666474733,0.891601011240462
3,SW-24H-MFN,Gowalla,1.0679559935831524,0.9988298815142294,1.1492208887305575
3,SW-24H-MFN,Weeplace,0.8335203089270262,0.8170700534183536,0.8498203490809841
3,TFN,BrightKite,0.807579397029285,0.766016521143763,0.8464146077777721
3,TFN,Gowalla,1.0276457646585548,0.9609433816767665,1.108643150016985
3,TFN,Weeplace,0.7616487732332278,0.7421161046470119,0.7812217281309002
4,CB-1D-MFN,BrightKite,0.8516197172660884,0.8118203687700812,0.8895166493221076
4,CB-1D-MFN,Gowalla,1.0901086101622244,1.0208740931551987,1.173944834548189
4,CB-1D-MFN,Weeplace,0.8471032215121359,0.8297136043781393,0.8645876096786559
4,CB-1H-MFN,BrightKite,0.8351620828968151,0.7944567872751558,0.8742283207078988
4,CB-1H-MFN,Gowalla,1.0407892792893505,0.9743999467032299,1.1171266482148086
4,CB-1H-MFN,Weeplace,0.7896689683523088,0.7688310262351116,0.8102640465751868
4,SW-24H-MFN,BrightKite,0.8597393232553833,0.8218545448701762,0.8962813151374731
4,SW-24H-MFN,Gowalla,1.09920840073078,1.0310420311930342,1.1843413811986903
4,SW-24H-MFN,Weeplace,0.8519902751031834,0.834901274098259,0.8693162666276298
4,TFN,BrightKite,0.8177897754482284,0.7781259956944178,0.8559240653337492
4,TFN,Gowalla,1.05335211427736,0.986948820873132,1.1324631015505284
4,TFN,Weeplace,0.7841176507170966,0.7636273462302313,0.8049618925214588
5,CB-1D-MFN,BrightKite,0.8556562539774775,0.8171994533368044,0.89223606717655
5,CB-1D-MFN,Gowalla,1.1132418183155461,1.0449381103287174,1.1978444259507033
5,CB-1D-MFN,Weeplace,0.8636862919976978,0.8455868159674754,0.8815717966174924
5,CB-1H-MFN,BrightKite,0.8420593852028274,0.8027429625179826,0.8798138842004344
5,CB-1H-MFN,Gowalla,1.0584204227921443,0.99167016203984,1.1353269802447787
5,CB-1H-MFN,Weeplace,0.8079996680799633,0.7870822027579614,0.8285122340127348
5,SW-24H-MFN,BrightKite,0.863373711685982,0.8253539507058028,0.9000664792494224
5,SW-24H-MFN,Gowalla,1.1213295914391166,1.052264212553394,1.2031332921618405
5,SW-24H-MFN,Weeplace,0.8664955876068593,0.8486023040543211,0.8843047994687817
5,TFN,BrightKite,0.8213981814716059,0.7814903531410042,0.8593909718166826
5,TFN,Gowalla,1.0726873412443265,1.0070759709705637,1.1512797872398348
5,TFN,Weeplace,0.8047609297913679,0.7842855313619013,0.825715094731615
6,CB-1D-MFN,BrightKite,0.8608550792704308,0.8220444924189712,0.8987406708809663
6,CB-1D-MFN,Gowalla,1.130574929110578,1.0614849162733098,1.2147440841446955
6,CB-1D-MFN,Weeplace,0.8764989192264366,0.8578080845604984,0.8951416736631292
6,CB-1H-MFN,BrightKite,0.8458002915717335,0.8065495379703593,0.8831303160821171
6,CB-1H-MFN,Gowalla,1.071301866486492,1.0058597717461533,1.1459937492619334
6,CB-1H-MFN,Weeplace,0.823317100416801,0.802390003635664,0.8443478116788572
6,SW-24H-MFN,BrightKite,0.8678416810218726,0.8300234091702647,0.9041871204383906
6,SW-24H-MFN,Gowalla,1.1382605393720793,1.0678972484580667,1.2260286464144659
6,SW-24H-MFN,Weeplace,0.8794841600855082,0.8610524181999112,0.8973420429887334
6,TFN,BrightKite,0.8308882350026341,0.7937018931041979,0.8670018322597839
6,TFN,Gowalla,1.0881400691169572,1.0223439659475384,1.165232198089793
6,TFN,Weeplace,0.8192012206176625,0.7979521215164437,0.8400219548812967
7,CB-1D-MFN,BrightKite,0.8649971154431312,0.8271140111728884,0.9019015524059314
7,CB-1D-MFN,Gowalla,1.1474352393973295,1.0773196726112615,1.2311478832524476
7,CB-1D-MFN,Weeplace,0.8910814957263605,0.8720051577510267,0.9101072005747493
7,CB-1H-MFN,BrightKite,0.8473851810907342,0.8065785587903327,0.8853821820715896
7,CB-1H-MFN,Gowalla,1.0795841968951343,1.0160576890102853,1.15383923083117
7,CB-1H-MFN,Weeplace,0.8368521031234354,0.8156050891710482,0.8585599096026443
7,SW-24H-MFN,BrightKite,0.8717928867327128,0.8347736031347198,0.906317761030242
7,SW-24H-MFN,Gowalla,1.155497851359685,1.0854893408599258,1.2372325761226446
7,SW-24H-MFN,Weeplace,0.8896732946436177,0.8714273828066063,0.9084839944047315
7,TFN,BrightKite,0.8362201181395683,0.7986904073278419,0.8712493622582562
7,TFN,Gowalla,1.097369367452175,1.0319583846957767,1.1765979086751799
7,TFN,Weeplace,0.8320861175111663,0.8107379785779923,0.8531903060706816
8,CB-1D-MFN,BrightKite,0.8690567122554517,0.8314636409377035,0.9042225034958266
8,CB-1D-MFN,Gowalla,1.159433732050109,1.0911213295675444,1.245823625215056
8,CB-1D-MFN,Weeplace,0.902926872026942,0.8834667647616707,0.92274028025146
8,CB-1H-MFN,BrightKite,0.8513259749289311,0.8127404443182176,0.8885992905592414
8,CB-1H-MFN,Gowalla,1.0856084552985483,1.0241940014968811,1.1538473915397065
8,CB-1H-MFN,Weeplace,0.8511716812601801,0.8297364326689789,0.8723080022699933
8,SW-24H-MFN,BrightKite,0.8744912424719794,0.8375114487373103,0.9092757862993243
8,SW-24H-MFN,Gowalla,1.1684109975703627,1.0979672375531089,1.253527249899586
8,SW-24H-MFN,Weeplace,0.9025091177671546,0.8833153256440854,0.9211915051598453
8,TFN,BrightKite,0.8413997945058527,0.8030708045026554,0.8779510922021446
8,TFN,Gowalla,1.1023989317263432,1.0393740699662237,1.1788309979617786
8,TFN,Weeplace,0.8469275617957557,0.8251706469166048,0.8678991461578562
9,CB-1D-MFN,BrightKite,0.8724205842439504,0.8353108080655354,0.9079703687826057
9,CB-1D-MFN,Gowalla,1.171632566142219,1.1030407788038536,1.2514212858083502
9,CB-1D-MFN,Weeplace,0.911909212993553,0.8916107859244986,0.9315967009334472
9,CB-1H-MFN,BrightKite,0.8572555497411787,0.8179492119096861,0.8942041508771521
9,CB-1H-MFN,Gowalla,1.0914134741269554,1.0320122847579138,1.1567167630656854
9,CB-1H-MFN,Weeplace,0.8635198662221305,0.841545497672794,0.8852772290172934
9,SW-24H-MFN,BrightKite,0.8772423841055867,0.8404354408907043,0.9120825244454374
9,SW-24H-MFN,Gowalla,1.1790345548072503,1.1080902710171896,1.264247639684741
9,SW-24H-MFN,Weeplace,0.9113983187113353,0.8925901716671052,0.9311822381285549
9,TFN,BrightKite,0.842814346502244,0.805509031404837,0.8799479895373231
9,TFN,Gowalla,1.1080149561220871,1.044097171037702,1.1840198552660528
9,TFN,Weeplace,0.8589556588011087,0.8370832946778466,0.8807127626892066
10,CB-1D-MFN,BrightKite,0.8751392496736067,0.8378428176797658,0.9111814082658652
10,CB-1D-MFN,Gowalla,1.1793980605196015,1.1097319764202136,1.263751139516141
10,CB-1D-MFN,Weeplace,0.9202276723687037,0.9003830942051042,0.9405020994779044
10,CB-1H-MFN,BrightKite,0.8583656576497133,0.8180734821816164,0.8965800503638259
10,CB-1H-MFN,Gowalla,1.09818480641062,1.0398591311912084,1.1620487658507557
10,CB-1H-MFN,Weeplace,0.8730241809714832,0.8505574051976655,0.8951441626900027
10,SW-24H-MFN,BrightKite,0.8806386587879431,0.8440669532338362,0.9162865696005625
10,SW-24H-MFN,Gowalla,1.1868355353341284,1.117876409656017,1.2705922008150263
10,SW-24H-MFN,Weeplace,0.9208276669970626,0.9013039082694877,0.9406553553587649
10,TFN,BrightKite,0.8451694984159072,0.8057221451255266,0.8819478239698547
10,TFN,Gowalla,1.114411667342137,1.050561586814986,1.1920381861245093
10,TFN,Weeplace,0.8689920681307908,0.8471809747193753,0.8904666128219079
